"ID","Sex","Status","Weight","Age","Year","RTL","Strongyles","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia"
8213,"F","EstDead",11.1,0,2011,1.95627363349293,400,9600,0,0,0,2
8220,"M","Dead",14.1,0,2011,2.1338692324889,1600,7200,200,0,0,2
8227,"M","EstDead",14.2,0,2011,1.99713022160769,600,3600,100,0,0,2
8228,"M","Dead",12.3,0,2011,2.12079489832568,200,4800,0,0,0,2
8229,"M","Dead",14.9,0,2011,1.85042659766273,1200,48000,300,0,0,1
8231,"M","Dead",11.8,0,2011,2.04740217837666,1500,3400,800,0,0,2
8236,"F","EstDead",10.1,0,2011,2.1034902128264,400,2000,0,0,0,2
8237,"F","Dead",13.1,0,2011,1.85008535318743,300,24000,300,0,0,2
8238,"F","Dead",8.6,0,2011,2.19624072633025,3000,24000,500,0,0,2
8239,"M","Dead",10.5,0,2011,1.93597444072367,900,4200,0,0,0,2
8246,"M","Dead",9.2,0,2011,1.51021527088668,1000,3600,0,0,0,2
8247,"M","EstDead",12.7,0,2011,1.85850563011736,700,36000,0,0,0,2
8252,"M","Dead",13.3,0,2011,2.20766729233588,1300,6600,0,0,0,2
8254,"F","EstDead",14.4,0,2011,1.19049334010265,200,3800,0,0,0,2
8255,"F","Dead",12.3,0,2011,1.92975138580442,800,3000,0,0,0,2
8256,"F","EstDead",9.9,0,2011,2.00282411159402,400,12000,0,0,0,2
8257,"F","Dead",11.3,0,2011,2.11721641067254,200,3200,0,0,0,2
8258,"F","Alive",12.7,0,2011,1.8289793861763,0,2500,0,0,0,2
8259,"M","Dead",11.9,0,2011,2.4145456482181,400,2800,100,0,0,1
8263,"M","Dead",10.8,0,2011,2.2441949270337,1400,12000,0,0,0,2
8265,"F","Dead",13.4,0,2011,1.90531125407574,200,12000,100,0,0,2
8267,"M","EstDead",15.6,0,2011,2.19450659932708,300,4800,0,0,0,1
8269,"F","Dead",13.3,0,2011,1.55393734812489,800,4800,200,0,0,2
8270,"M","Dead",9.9,0,2011,1.8795641085571,2200,5000,1000,0,0,2
8271,"M","Dead",12.7,0,2011,1.64983180218459,1000,6400,0,0,0,2
8273,"F","Dead",5.5,0,2011,1.89322779574093,1900,7200,200,0,0,2
8276,"M","EstDead",14.7,0,2011,1.52328748044796,1200,7000,800,0,0,1
8277,"F","Dead",6.2,0,2011,1.6588815962162,2800,3600,0,0,0,2
8278,"M","Dead",5.9,0,2011,1.84676883082018,3800,12000,100,0,0,2
8280,"F","EstDead",13.4,0,2011,1.85686257142832,200,4200,0,0,0,2
8281,"F","Dead",8.3,0,2011,1.89544227994897,200,12000,100,0,0,2
8282,"M","Dead",12.5,0,2011,1.77452277525965,200,8400,200,0,0,2
8283,"F","Dead",10.5,0,2011,1.74907209076058,100,24000,0,0,0,2
8284,"M","Dead",14.5,0,2011,2.14305061484014,1000,4000,400,0,0,2
8285,"F","Dead",11.3,0,2011,2.0853867581099,200,8000,0,0,0,2
8286,"F","EstDead",10.4,0,2011,1.94140049971425,800,2700,400,0,0,2
8289,"F","Dead",11,0,2011,1.62776129184577,200,1400,0,0,0,2
8292,"F","Dead",12.3,0,2011,1.31994480691193,200,2400,200,0,0,2
8295,"F","Dead",8.8,0,2011,1.82298440141512,1100,4800,300,0,0,2
8296,"F","Dead",10.8,0,2011,2.27420431137708,700,2700,100,0,0,2
8297,"M","Dead",11.7,0,2011,1.6812232897464,1600,4500,0,0,0,2
8299,"M","Dead",12.2,0,2011,2.17971611107065,1400,3600,200,0,0,2
8300,"F","Dead",11.2,0,2011,1.85232766681173,600,36000,0,0,0,2
8301,"F","Dead",5.4,0,2011,1.40342043582647,1000,12000,1000,0,0,2
8302,"F","EstDead",10.8,0,2011,2.21170403929279,900,60000,1800,0,0,1
8303,"F","Dead",9.7,0,2011,1.83845363267706,300,12000,0,0,0,2
8304,"M","Alive",14.3,0,2011,1.57807848761346,700,60000,0,0,0,2
8307,"M","Dead",11.6,0,2011,2.2922786165883,2800,6000,0,0,0,2
8308,"M","Dead",10.9,0,2011,1.63054723405937,1100,4900,100,0,0,2
8314,"M","Dead",8.8,0,2011,1.69564802645233,4400,6000,1000,0,0,2
8315,"F","Dead",13.7,0,2011,2.19013201029253,300,2800,0,0,0,2
8318,"F","Dead",11.7,0,2011,2.01043434366883,900,7200,0,0,0,2
8319,"F","Dead",12.3,0,2011,1.90710249513346,400,10000,0,0,0,2
8324,"M","Dead",13.5,0,2011,1.8871298320704,600,7000,0,0,0,2
8325,"M","Dead",14.2,0,2011,2.19533910197495,2600,8400,700,0,0,2
8327,"F","Alive",11,0,2011,1.6448025635438,900,6600,400,0,0,2
8328,"F","Dead",11.4,0,2011,1.83671636489628,800,3000,0,0,0,2
8345,"F","EstDead",6.3,0,2011,1.67976737736265,1000,1800,0,0,0,2
8346,"M","EstDead",8.4,0,2011,1.93138732289427,1200,6400,400,0,0,2
8349,"M","Dead",13.5,0,2011,1.84763205558216,600,5600,200,0,0,2
8351,"F","Dead",8.3,0,2011,2.50599197009108,2800,30000,600,0,0,2
8353,"M","Dead",11,0,2011,1.97735099414823,1600,4000,200,0,0,1
8359,"M","Dead",15.1,0,2011,1.60736812978374,200,24000,0,0,0,2
8361,"M","EstDead",11.6,0,2011,2.29789751635417,900,12000,200,0,0,2
8450,"M","Dead",12.4,0,2011,1.75777923480274,1400,9600,400,0,0,2
8459,"M","Dead",11.4,0,2011,2.30389963888037,1500,6000,200,0,0,2
8460,"F","Dead",9.2,0,2011,2.24445089107796,300,2200,200,0,0,2
8461,"M","Dead",8.9,0,2011,1.68201233099981,800,48000,0,0,0,1
8463,"F","Dead",9.5,0,2011,2.00441251392782,800,120000,300,0,0,2
8464,"F","Dead",11.4,0,2011,1.83968329690779,1400,12000,0,0,0,2
8466,"M","EstDead",8.8,0,2011,2.01930775558113,800,4400,0,0,0,2
8474,"M","Dead",15.8,0,2011,2.00023739334063,800,1600,0,0,0,2
8493,"F","Dead",9.5,0,2011,2.33052886948944,600,6000,0,0,0,2
8507,"M","Dead",10.7,0,2011,1.78840901052323,400,1900,400,0,0,2
